timestamp,power_w,sample_count,load_lag_1h,load_lag_24h,load_lag_168h,load_roll_mean_3h,load_roll_mean_24h,hour,hour_sin,hour_cos,day_of_week,is_weekend,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,CLRSKY_SFC_SW_DWN,T2M,RH2M,WS10M,WD10M,PS,PRECTOTCORR,CLOUD_AMT
2013-08-09 18:00:00+00:00,28891.04371733333,30.0,,,,,,18,-1.0,-1.8369701987210297e-16,4,0,0.0,0.0,0.0,0.0,26.68,89.11,0.77,37.6,97.79,3.22,100.0
2013-08-09 19:00:00+00:00,28687.74454733333,60.0,28891.04371733333,,,,,19,-0.9659258262890684,0.2588190451025203,4,0,0.0,0.0,0.0,0.0,26.45,89.36,0.66,56.8,97.75,3.51,99.96
2013-08-09 20:00:00+00:00,27079.95328783333,60.0,28687.74454733333,,,,,20,-0.8660254037844386,0.5000000000000001,4,0,0.0,0.0,0.0,0.0,26.26,89.36,0.44,54.2,97.73,3.85,99.91
2013-08-09 21:00:00+00:00,26279.67327433333,60.0,27079.95328783333,,,28219.5805175,,21,-0.7071067811865477,0.7071067811865474,4,0,0.0,0.0,0.0,0.0,26.12,88.99,0.34,45.0,97.7,3.89,98.43
2013-08-09 22:00:00+00:00,25433.17581433333,60.0,26279.67327433333,,,27349.123703166664,,22,-0.5000000000000004,0.8660254037844384,4,0,0.0,0.0,0.0,0.0,25.81,90.48,0.36,58.5,97.68,3.58,65.83
2013-08-09 23:00:00+00:00,24677.806803333333,60.0,25433.17581433333,,,26264.267458833332,,23,-0.25881904510252157,0.9659258262890681,4,0,0.0,0.0,0.0,0.0,25.46,91.99,0.5,80.7,97.67,3.11,69.72
2013-08-10 00:00:00+00:00,23515.0064615,60.0,24677.806803333333,,,25463.551964,,0,0.0,1.0,5,1,12.57,1.88,15.58,14.88,25.41,93.79,0.7,93.3,97.68,2.37,60.77
2013-08-10 01:00:00+00:00,23015.6569015,60.0,23515.0064615,,,24541.996359722223,,1,0.25881904510252074,0.9659258262890683,5,1,118.97,126.86,85.97,146.48,26.13,91.47,1.16,96.9,97.7,2.27,52.2
2013-08-10 02:00:00+00:00,17791.417879166667,60.0,23015.6569015,,,23736.156722111115,,2,0.49999999999999994,0.8660254037844387,5,1,282.48,288.32,144.6,344.55,27.55,85.8,1.34,94.7,97.74,3.57,43.48
2013-08-10 03:00:00+00:00,15065.890804666667,60.0,17791.417879166667,,,21440.693747388887,,3,0.7071067811865476,0.7071067811865476,5,1,508.15,410.03,220.66,546.75,28.84,80.76,1.29,82.0,97.79,3.98,36.48
2013-08-10 04:00:00+00:00,13761.715982833332,60.0,15065.890804666667,,,18624.32186177778,,4,0.8660254037844386,0.5000000000000001,5,1,687.95,451.66,296.62,718.28,29.87,77.55,1.42,70.7,97.83,9.62,31.07
2013-08-10 05:00:00+00:00,11160.540388666668,60.0,13761.715982833332,,,15539.674888888889,,5,0.9659258262890683,0.25881904510252074,5,1,709.97,335.21,347.49,839.88,30.57,75.86,1.7,72.8,97.82,14.87,59.06
2013-08-10 06:00:00+00:00,10532.351497333331,60.0,11160.540388666668,,,13329.382392055557,,6,1.0,6.123233995736766e-17,5,1,644.33,215.42,365.16,831.83,31.11,74.53,2.01,77.1,97.77,14.34,71.84
