timestamp,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M,WD10M,PS,PRECTOTCORR
2020010100,0.0,0.0,0.0,6.55,52.59,1.79,47.0,99.51,0.0
2020010101,0.0,0.0,0.0,5.87,55.12,1.96,54.4,99.5,0.0
2020010102,0.0,0.0,0.0,5.43,56.64,2.0,63.3,99.5,0.0
2020010103,0.0,0.0,0.0,5.2,57.38,1.93,73.4,99.5,0.0
2020010104,0.0,0.0,0.0,4.99,58.06,1.86,83.5,99.53,0.0
2020010105,0.0,0.0,0.0,4.76,58.86,1.85,92.5,99.6,0.0
2020010106,0.0,0.0,0.0,4.57,59.88,1.88,100.4,99.68,0.0
2020010107,75.43,84.87,61.95,5.55,60.2,1.74,108.1,99.77,0.0
2020010108,217.77,266.42,146.75,8.26,49.73,2.32,114.5,99.85,0.0
2020010109,368.52,395.1,185.82,11.14,42.09,2.39,116.4,99.92,0.0
2020010110,475.15,416.99,223.76,15.34,31.44,3.25,117.7,99.91,0.0
2020010111,425.67,221.14,244.71,17.45,27.78,3.43,112.6,99.82,0.0
2020010112,419.92,214.37,257.16,18.89,25.13,3.52,109.1,99.71,0.0
2020010113,378.33,215.0,242.86,19.62,23.92,3.49,108.4,99.63,0.0
2020010114,295.67,163.5,216.1,19.49,24.53,3.3,108.0,99.58,0.0
2020010115,159.88,81.94,134.67,17.97,35.17,2.18,107.6,99.57,0.0
2020010116,38.22,13.38,36.25,14.36,46.62,2.27,108.5,99.59,0.0
2020010117,0.0,0.0,0.0,12.62,45.6,2.41,110.2,99.65,0.0
2020010118,0.0,0.0,0.0,11.85,48.25,2.42,111.4,99.75,0.0
2020010119,0.0,0.0,0.0,11.13,50.88,2.44,110.7,99.8,0.0
2020010120,0.0,0.0,0.0,10.2,54.53,2.53,106.5,99.84,0.0
2020010121,0.0,0.0,0.0,9.12,60.71,2.72,102.3,99.84,0.0
2020010122,0.0,0.0,0.0,8.08,67.79,2.92,101.7,99.82,0.0
2020010123,0.0,0.0,0.0,7.24,74.58,3.05,105.0,99.78,0.0
2020010200,0.0,0.0,0.0,6.74,79.91,3.07,108.8,99.74,0.0
2020010201,0.0,0.0,0.0,6.38,84.21,2.95,110.2,99.71,0.0
2020010202,0.0,0.0,0.0,5.99,88.69,2.77,113.0,99.67,0.0
2020010203,0.0,0.0,0.0,5.58,93.51,2.52,119.0,99.65,0.0
2020010204,0.0,0.0,0.0,5.35,97.89,2.23,121.6,99.68,0.0
2020010205,0.0,0.0,0.0,5.2,100.0,1.97,115.3,99.75,0.0
2020010206,0.0,0.0,0.0,5.07,100.0,1.72,100.1,99.83,0.0
2020010207,69.65,55.67,60.33,6.46,96.15,1.62,78.3,99.92,0.0
2020010208,213.8,220.04,135.29,9.01,82.8,1.89,69.8,99.99,0.0
2020010209,346.38,326.55,176.15,12.82,68.6,1.93,90.0,100.04,0.0
2020010210,458.55,382.34,222.47,16.78,56.19,3.21,115.3,99.98,0.0
2020010211,481.85,319.93,242.03,18.48,51.67,3.99,122.3,99.82,0.06
