timestamp,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,CLRSKY_SFC_SW_DWN,T2M,RH2M,WS10M,WD10M,PS,PRECTOTCORR,CLOUD_AMT
2013010100,0.0,0.0,0.0,0.0,3.87,71.05,2.87,301.0,98.9,0.0,99.87
2013010101,0.0,0.0,0.0,0.0,3.46,73.18,2.81,296.8,98.97,0.0,99.88
2013010102,41.35,19.91,36.06,99.45,5.64,63.23,3.09,292.4,99.06,0.0,97.5
2013010103,109.0,32.31,92.94,284.1,8.3,53.58,3.13,287.5,99.14,0.0,98.1
2013010104,181.65,38.58,151.38,456.25,12.01,44.09,2.54,287.7,99.21,0.0,98.41
2013010105,247.38,65.24,197.13,578.85,16.51,35.31,2.27,296.5,99.22,0.0,98.0
2013010106,401.52,291.41,221.46,573.33,17.85,32.57,1.47,290.8,99.14,0.0,76.67
2013010107,499.67,430.07,214.38,568.08,18.58,30.19,1.15,291.0,99.03,0.0,36.03
2013010108,423.12,368.59,213.4,502.62,18.7,29.27,1.0,299.9,98.95,0.0,63.98
2013010109,305.85,279.25,193.28,375.7,18.27,29.45,1.03,319.3,98.89,0.0,72.28
2013010110,178.65,145.8,130.68,213.32,17.44,35.48,0.98,330.5,98.88,0.0,79.73
2013010111,43.12,18.52,40.16,50.17,15.55,41.18,1.19,331.9,98.89,0.0,88.95
2013010112,0.0,0.0,0.0,0.0,14.18,41.28,1.36,327.0,98.93,0.0,100.0
2013010113,0.0,0.0,0.0,0.0,13.49,43.41,1.6,319.1,98.99,0.0,100.0
2013010114,0.0,0.0,0.0,0.0,12.65,46.53,1.81,319.3,99.03,0.0,100.0
2013010115,0.0,0.0,0.0,0.0,11.43,49.62,2.08,325.2,99.06,0.0,78.07
2013010116,0.0,0.0,0.0,0.0,9.68,53.38,2.46,331.9,99.05,0.0,55.93
2013010117,0.0,0.0,0.0,0.0,8.08,58.59,2.87,337.3,99.04,0.0,77.14
2013010118,0.0,0.0,0.0,0.0,7.06,63.14,3.18,341.3,99.04,0.0,4.21
2013010119,0.0,0.0,0.0,0.0,6.4,65.91,3.24,344.6,99.03,0.0,3.16
2013010120,0.0,0.0,0.0,0.0,5.79,68.56,3.17,345.4,99.02,0.0,88.6
2013010121,0.0,0.0,0.0,0.0,5.22,70.96,3.08,340.7,98.99,0.0,3.16
2013010122,0.0,0.0,0.0,0.0,4.72,73.28,3.0,332.2,98.98,0.0,4.21
2013010123,0.0,0.0,0.0,0.0,4.26,75.68,2.94,322.3,98.98,0.0,3.16
2013010200,0.0,0.0,0.0,0.0,3.8,78.8,2.93,311.7,99.03,0.0,3.16
2013010201,0.0,0.0,0.0,0.0,3.37,81.69,2.99,302.3,99.1,0.0,22.55
2013010202,73.07,214.7,41.74,106.07,5.68,69.9,3.36,295.2,99.18,0.0,48.01
2013010203,150.12,270.48,74.45,296.8,8.46,58.38,3.76,291.9,99.27,0.0,65.95
2013010204,196.68,178.87,120.63,470.17,12.17,46.38,3.27,291.5,99.35,0.0,81.64
2013010205,222.77,49.26,174.25,593.72,15.42,35.01,3.72,296.7,99.36,0.0,97.34
2013010206,288.95,38.11,231.22,578.53,16.57,30.74,3.32,297.8,99.29,0.0,98.82
2013010207,292.17,21.94,236.91,571.67,17.33,28.22,3.2,299.6,99.2,0.0,99.0
2013010208,334.88,275.97,173.63,495.8,17.7,26.69,3.25,301.8,99.14,0.0,63.35
2013010209,252.25,279.65,134.54,367.65,17.54,26.48,3.44,302.2,99.1,0.0,53.36
2013010210,161.2,212.51,97.25,205.9,16.65,28.76,3.26,300.0,99.09,0.0,41.18
2013010211,43.08,50.93,37.16,48.53,12.64,44.86,2.65,295.0,99.1,0.0,27.31
2013010212,0.0,0.0,0.0,0.0,9.96,48.94,3.25,294.4,99.15,0.0,10.46
2013010213,0.0,0.0,0.0,0.0,9.2,50.04,3.47,295.5,99.2,0.0,7.37
2013010214,0.0,0.0,0.0,0.0,8.6,50.43,3.58,297.4,99.24,0.0,4.21
2013010215,0.0,0.0,0.0,0.0,7.99,50.5,3.62,299.8,99.27,0.0,4.21
2013010216,0.0,0.0,0.0,0.0,7.27,51.02,3.6,302.1,99.27,0.0,56.54
2013010217,0.0,0.0,0.0,0.0,6.55,51.8,3.55,304.1,99.25,0.0,5.27
2013010218,0.0,0.0,0.0,0.0,5.86,52.76,3.5,306.1,99.22,0.0,2.11
2013010219,0.0,0.0,0.0,0.0,5.24,53.64,3.46,307.4,99.19,0.0,8.46
2013010220,0.0,0.0,0.0,0.0,4.65,54.75,3.43,307.3,99.15,0.0,10.54
2013010221,0.0,0.0,0.0,0.0,4.09,55.77,3.41,305.1,99.13,0.0,97.3
2013010222,0.0,0.0,0.0,0.0,3.55,56.71,3.39,302.1,99.12,0.0,9.52
2013010223,0.0,0.0,0.0,0.0,3.05,57.72,3.37,299.2,99.13,0.0,6.36
2013010300,0.0,0.0,0.0,0.0,2.58,58.84,3.31,296.6,99.18,0.0,8.42
2013010301,0.0,0.0,0.0,0.0,2.13,59.91,3.22,294.4,99.24,0.0,46.58
2013010302,60.3,112.84,41.87,92.55,4.27,51.91,4.06,292.1,99.32,0.0,67.29
2013010303,144.6,261.96,73.26,273.67,7.01,43.91,3.65,288.5,99.4,0.0,83.12
2013010304,205.6,40.12,168.99,447.6,10.98,35.43,2.82,284.6,99.48,0.0,97.21
2013010305,317.55,107.82,226.67,573.5,15.87,25.4,3.34,295.6,99.48,0.0,93.28
2013010306,402.17,231.06,246.42,522.88,17.63,22.7,2.92,293.6,99.42,0.0,80.1
2013010307,444.83,351.44,211.58,519.53,18.66,20.74,2.81,297.3,99.33,0.0,45.31
